2026-04-02T20:50:50.952+0200	INFO	Downloader shutting down
2026-04-02T20:50:50.952+0200	DEBUG	Downloader awaiting task completion for	{"time": "2.499956603s"}
2026-04-02T20:50:51.049+0200	DEBUG	download event	{"type": "start", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 104857600}
2026-04-02T20:50:51.049+0200	DEBUG	download event	{"type": "start", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 104857600}
2026-04-02T20:50:51.049+0200	DEBUG	download event	{"type": "start", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 104857600}
2026-04-02T20:50:51.249+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 3800768}
2026-04-02T20:50:51.249+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 3817152}
2026-04-02T20:50:51.249+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 3718848}
2026-04-02T20:50:51.449+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 11026112}
2026-04-02T20:50:51.449+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 10616512}
2026-04-02T20:50:51.449+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 10632896}
2026-04-02T20:50:51.649+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 17907392}
2026-04-02T20:50:51.649+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 17235648}
2026-04-02T20:50:51.649+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 17514176}
